Sample ID;Weight (mg);N2 Amp;%N;δ15N vs. At. Air;CO2 Amp;%C;δ13C vs. VPDB
2568-Z;11.128;934;0.19;9.54;841;1.17;-20.10
2564-P;20.565;859;0.09;9.88;959;0.72;-19.07
2564-Z;10.137;613;0.14;7.86;593;0.89;-19.11
2569-P;21.462;547;0.06;8.39;575;0.41;-20.05
2569-Z;10.57;968;0.20;7.47;837;1.22;-20.35
1837-Z;9.628;1,083;0.26;8.87;1,010;1.63;-20.08
1837-P;17.655;361;0.05;8.05;291;0.25;-19.95
1838-Z;9.67;877;0.21;8.72;805;1.29;-19.48
1838-P;13.468;205;0.04;6.33;136;0.15;-20.11
1839-P;18.071;267;0.04;7.49;242;0.20;-21.40
1839-Z;6.452;640;0.24;7.95;529;1.26;-21.34
1841-P;12.763;150;0.03;6.06;85;0.10;-20.41
1841-Z;10.311;838;0.19;8.73;794;1.19;-20.20
1864-Z;10.485;1,509;0.33;8.44;1,253;1.90;-18.53
1864-P;21.589;2,003;0.21;13.58;1,767;1.30;-18.07
1865-P;20.465;1,097;0.13;8.71;768;0.58;-16.84
1865-Z;9.416;1,144;0.27;8.95;1,153;1.94;-17.43
1866-Z;9.634;944;0.22;8.37;931;1.52;-18.08
1866-P;17.495;506;0.07;7.74;351;0.31;-17.61
1867-Z;9.104;853;0.24;8.09;797;1.37;-21.23
1867-P;18.705;605;0.07;8.42;453;0.37;-21.06
1868-Z;9.097;935;0.23;8.45;819;1.41;-19.10
1868-P;18.233;752;0.09;8.34;613;0.53;-18.64
1869-Z;10.907;1,230;0.25;8.40;1,097;1.59;-20.48
1869-P;13.759;625;0.10;6.97;556;0.63;-20.34
2573-Z;11.543;1,264;0.23;7.79;1,101;1.51;-17.11
2573-P;20.531;1,303;0.14;9.06;1,500;1.17;-17.18
2574-P;19.868;941;0.11;6.87;980;0.78;-17.34
2574-Z;10.754;1,188;0.25;7.91;1,036;1.53;-16.95
2575-P;21.733;634;0.07;7.67;667;0.48;-17.36
2575-Z;12.605;1,326;0.22;8.28;1,325;1.68;-16.63
2576-Z;11.133;2,150;0.43;8.88;1,680;2.44;-16.23
2576-P;23.636;1,548;0.14;9.62;1,440;0.98;-16.52
1828-P;19.085;1,038;0.12;7.37;1,054;0.88;-18.15
1828-Z;9.304;1,497;0.36;8.13;1,432;2.48;-18.51
1831-Z;8.291;1,583;0.43;9.34;1,572;3.08;-17.95
1831-P;14.676;821;0.15;8.12;786;0.82;-18.17
1832-P;21.563;1,251;0.15;8.63;1,150;0.82;-16.68
1832-Z;7.571;1,809;0.55;9.57;1,768;3.70;-16.41
1833-P;14.33;646;0.10;7.41;881;0.95;-17.28
1833-Z;6.899;1,378;0.47;12.22;1,356;3.10;-17.44
126-Z;12.457;731;0.13;3.84;883;1.09;-15.75
126-P;19.458;336;0.04;2.89;297;0.23;-17.13
182-Z;10.141;610;0.13;4.49;666;1.01;-18.93
182-P;19.359;462;0.05;4.50;360;0.28;-18.27
183-Z;11.004;457;0.09;2.19;430;0.59;-20.50
183-P;18.485;280;0.04;3.11;221;0.18;-20.04
215-Z;10.09;648;0.14;4.47;631;0.95;-19.25
215-P;19.202;337;0.04;4.00;224;0.17;-18.31
216-P;19.333;456;0.06;4.61;325;0.25;-17.30
216-Z;9.941;818;0.19;3.80;779;1.20;-18.51
217-P;17.967;438;0.06;4.71;323;0.27;-18.85
217-Z;10.738;925;0.18;4.47;914;1.32;-20.09
915-P;18.16;292;0.04;5.37;297;0.25;-20.84
915-Z;10.251;519;0.12;4.95;589;0.88;-20.76
916-P;19.39;188;0.02;4.46;134;0.10;-21.76
916-Z;10.23;400;0.10;4.33;396;0.61;-21.47
1842-P;19.035;170;0.03;5.21;118;0.10;-20.66
1842-Z;10.112;546;0.13;7.90;505;0.79;-20.73
2563-P;19.365;331;0.04;6.74;233;0.19;-18.72
2563-Z;10.146;391;0.10;6.85;365;0.56;-19.89
1851-P;19.313;334;0.04;3.05;287;0.23;-19.46
1851-Z;9.977;711;0.17;7.92;934;1.48;-20.70
1870-P;18.768;379;0.05;8.75;282;0.23;-19.73
1870-Z;10.002;570;0.14;8.72;527;0.82;-18.87
86-P;18.777;381;0.05;4.23;360;0.30;-17.01
86-Z;9.545;663;0.17;3.95;688;1.13;-17.30
95-P;19.129;258;0.04;3.33;225;0.18;-19.85
95-Z;9.736;417;0.11;3.53;447;0.71;-19.49
145-P;19.458;324;0.04;3.62;320;0.25;-18.73
145-Z;10.375;394;0.10;3.50;438;0.65;-18.59
117-P;19.62;394;0.05;4.83;309;0.24;-18.20
117-Z;10.179;682;0.16;4.63;777;1.21;-18.94
219-P;19.121;341;0.05;4.79;236;0.19;-17.60
219-Z;9.608;491;0.13;4.23;499;0.81;-18.04
234-Z;11.601;1,422;0.29;4.19;1,437;2.02;-18.38
234-P;20.726;1,245;0.14;4.92;1,057;0.75;-17.58
909-P;19.219;296;0.04;3.47;197;0.15;-21.50
909-Z;10.645;798;0.18;5.55;809;1.11;-20.96
910-Z;10.597;747;0.17;5.12;723;0.99;-21.57
910-P;19.431;344;0.04;5.39;272;0.20;-21.18
911-Z;10.301;690;0.16;6.04;639;0.90;-23.17
911-P;18.328;274;0.04;7.14;186;0.14;-22.96
912-Z;9.793;502;0.12;4.80;540;0.81;-20.39
912-P;20.342;283;0.04;4.83;237;0.17;-20.93
913-Z;10.655;479;0.11;5.70;531;0.73;-22.01
913-P;19.859;264;0.03;4.72;186;0.13;-21.38
914-P;18.917;325;0.04;5.34;245;0.19;-21.09
914-Z;10.045;700;0.16;5.48;653;0.95;-20.63
918-Z;9.012;701;0.18;5.99;646;1.05;-19.97
918-P;19.189;302;0.04;5.67;202;0.15;-19.98
1843-P;19.038;394;0.05;8.31;250;0.19;-19.63
1843-Z;10.364;782;0.18;8.34;777;1.11;-19.72
1844-P;19.453;455;0.06;7.52;367;0.30;-19.93
1844-Z;8.787;846;0.23;7.69;822;1.40;-20.45
2570-Z;9.485;580;0.15;8.33;516;0.81;-20.60
2570-P;18.982;316;0.04;7.50;212;0.17;-20.34
2571-P;18.784;290;0.04;7.34;217;0.17;-20.13
2571-Z;10.093;570;0.13;8.12;533;0.81;-20.13
2572-P;19.554;340;0.04;7.95;230;0.18;-19.69
